Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Đại khái,大概
Khắp nơi,到处
Xin lỗi,道歉
Đạt được,得到
Địa điểm,地点
Tàu điện ngầm,地铁
Bản đồ,地图
Email,电子邮件
Động vật,动物
Hơn nữa,而且
Phát hiện,发现
Tiện lợi,方便
Yên tâm,放心
Ôn tập,复习
Gần đây,附近
Sạch sẽ,干净
Cảm động,感动
Cảm ơn,感谢
Vui vẻ,高兴
"Theo, căn cứ",根据
Sở thích,爱好
Yên tĩnh,安静
"Cách, biện pháp",办法
Giúp đỡ,帮忙
Bao gồm,包括
Ví dụ,比如
Bắt buộc,必须
Thay đổi,变化
Biểu thị,表示
Biểu diễn,表演
Tham gia,参加
Thành công,成功
Thành tích,成绩
Đi công tác,出差
Xuất hiện,出现
Nhà bếp,厨房
Thông minh,聪明
Dự định,打算
Dọn dẹp,打扫
In ấn,打印
Thay đổi,改变
Chuẩn bị,准备
Quan tâm,关心
So sánh,比较
Thảo luận,讨论
Quyết định,决定
Kinh nghiệm,经验
Đơn giản,简单
Phức tạp,复杂
Thành công,成功
Thất bại,失败
Ảnh hưởng,影响
Cơ hội,机会
Thói quen,习惯
Áp lực,压力
Mục tiêu,目标
Kế hoạch,计划
Kết quả,结果
Nguyên nhân,原因
Giải thích,解释
Giải quyết,解决
Tiến bộ,进步
Lùi bước,退步
Cố gắng,努力
Tin tưởng,相信
Hiểu rõ,了解
Nhận ra,意识到
Quan hệ,关系
Độc lập,独立
Phụ thuộc,依赖
Phản đối,反对
Ủng hộ,支持
Thái độ,态度
Ý kiến,意见
Lý do,理由
Trách nhiệm,责任
Nhiệm vụ,任务
Hoạt động,活动
Tình huống,情况
Hoàn cảnh,环境
Khả năng,能力
Trình độ,水平
Kỹ năng,技能
Phương pháp,方法
Cách làm,做法
Nội dung,内容
Chi tiết,细节
Toàn bộ,全部
Một phần,部分
Bình thường,正常
Đặc biệt,特别
Rõ ràng,明显
Bí mật,秘密
Chính xác,准确
Sai lầm,错误
An toàn,安全
Nguy hiểm,危险
Thuận tiện,方便
Bất tiện,不方便
Quan trọng,重要
Có ích,有用
Vô ích,没用
Tiết kiệm,节省
Lãng phí,浪费
Kiểm tra,检查
Xác nhận,确认
Phát hiện,发现
Chứng minh,证明
Đề nghị,建议
Yêu cầu,要求
Cho phép,允许
Cấm đoán,禁止
Tham gia,参加
Từ chối,拒绝
Đồng ý,同意
Bắt đầu,开始
Kết thúc,结束
Tiếp tục,继续
Tạm dừng,暂停
Sắp xếp,安排
Thực hiện,实现
Hoàn thành,完成
Hứa hẹn,答应
Giữ lời,守信
Thất hứa,失约
Khen ngợi,表扬
Chỉ trích,批评
Lo lắng,担心
Hy vọng,希望
Thất vọng,失望
Ngạc nhiên,吃惊
Hối hận,后悔
Vui vẻ,愉快
Buồn bã,难过
Tức giận,生气
Tinh thần,精神
Tâm trạng,心情
Cảm xúc,情绪
Tính cách,性格
Thái độ làm việc,工作态度
Thói quen xấu,坏习惯
Thói quen tốt,好习惯
Tự tin,自信
Tự hào,骄傲
Khiêm tốn,谦虚
Cẩn thận,小心
Bất cẩn,粗心
Nghiêm túc,认真
Thoải mái,轻松
Căng thẳng,紧张
Bình tĩnh,冷静
Nóng vội,着急
Kiên nhẫn,耐心
Thiếu kiên nhẫn,没耐心
Chủ động,主动
Bị động,被动
Thích hợp,合适
Không phù hợp,不合适
Phổ biến,普遍
Hiếm gặp,少见
Thường xuyên,经常
Thỉnh thoảng,偶尔
Ngay lập tức,立刻
Cuối cùng,最后
Ban đầu,一开始
Trước đây,以前
Hiện nay,现在
Trong tương lai,将来
Gần đây,最近
Lúc đó,当时
Đúng lúc,正好
Tình cờ,碰巧
Dần dần,逐渐
Liên tục,连续
Tạm thời,暂时
Lâu dài,长期
Đột nhiên,突然
Nhanh chóng,迅速
Chậm chạp,缓慢
Rõ rệt,明显
Mơ hồ,模糊
Chính thức,正式
Không chính thức,非正式
Đặc điểm,特点
Ưu điểm,优点
Nhược điểm,缺点
Lợi ích,利益
Tác dụng,作用
Ảnh hưởng trực tiếp,直接影响
Ảnh hưởng gián tiếp,间接影响
Phạm vi,范围
Giới hạn,限制
Điều kiện,条件
Hoàn cảnh đặc biệt,特殊情况
Nguyên tắc,原则
Quy định,规定
Luật lệ,规则
Trật tự,秩序
An ninh,安全
Nguy cơ,危险性
Tai nạn,事故
Sự cố,问题
Trách nhiệm cá nhân,个人责任
Nghĩa vụ,义务
Quyền lợi,权利
Giải thích rõ,说明清楚
Trình bày,表达
Miêu tả,描述
Kể lại,叙述
Nhấn mạnh,强调
Bổ sung,补充
Sửa đổi,修改
Thay thế,代替
Loại bỏ,取消
Giữ lại,保留
Chấp nhận,接受
Từ chối thẳng,直接拒绝
Thỏa thuận,协议
Mâu thuẫn,矛盾
Tranh cãi,争论
Hiểu lầm,误会
Hòa giải,和解
Giải thích hiểu lầm,消除误会
Tin đồn,传言
Tin tức,消息
Thông báo,通知
Báo cáo,报告
Đề xuất phương án,提出方案
Lựa chọn,选择
So sánh lại,重新比较
Thực tế,实际
Lý do chính,主要原因
Nguyên nhân trực tiếp,直接原因
Nguyên nhân gián tiếp,间接原因
Kết luận,结论
Kinh nghiệm rút ra,经验教训
Bài học,教训
Thử nghiệm,尝试
Thất bại hoàn toàn,彻底失败
Thành công bước đầu,初步成功
Tiến triển,进展
Kết quả tốt,良好结果
Hiệu quả,效果
Hiệu suất,效率
Chất lượng,质量
Số lượng,数量
Mức độ,程度
Tiêu chuẩn,标准
Yêu cầu cơ bản,基本要求
Điều kiện cần thiết,必要条件
Phù hợp yêu cầu,符合要求
Không đạt yêu cầu,不符合要求
Hoàn toàn giống,完全一样
Gần giống,差不多
Khác biệt rõ ràng,明显不同
Liên quan mật thiết,密切相关
Không liên quan,没有关系
Dựa vào,依靠
Phụ thuộc vào,取决于
Ảnh hưởng lẫn nhau,相互影响
Hợp tác,合作
Phối hợp,配合
Chia công việc,分工
Sắp xếp lại,重新安排
Thực hiện đúng,正确执行
Làm sai,做错
Sửa sai,纠正错误
Kiểm tra lại,重新检查
Xác nhận lại,再次确认
Theo dõi,跟踪
Giám sát,监督
Quản lý,管理
Phụ trách,负责
Chịu trách nhiệm,承担责任
Hoàn thành nhiệm vụ,完成任务
Chậm tiến độ,进度慢
Đúng tiến độ,按时完成
Trì hoãn,拖延
Thúc đẩy,推动
Cản trở,阻碍
Giải quyết triệt để,彻底解决
Tạm thời giải quyết,暂时解决
Chuẩn bị trước,提前准备
Ứng phó,应对
Xử lý,处理
Đối phó,对付
Tránh né,回避
Chấp nhận rủi ro,接受风险
Giảm rủi ro,降低风险
An toàn tuyệt đối,绝对安全
Nguy hiểm tiềm ẩn,潜在危险
Tình huống khẩn cấp,紧急情况
Biện pháp khẩn cấp,紧急措施
Cảnh báo,警告
Nhắc nhở,提醒
Chú ý,注意
Cẩn thận hơn,更加小心
Sơ suất,疏忽
Sai sót nhỏ,小错误
Lỗi nghiêm trọng,严重错误
Hậu quả,后果
Ảnh hưởng lâu dài,长期影响
Tác động ngắn hạn,短期影响
Giải pháp,解决方案
Phương án khác,其他方案
Lựa chọn tốt nhất,最佳选择
Thỏa hiệp,妥协
Nhượng bộ,让步
Kiên quyết,坚决
Do dự,犹豫
Quyết đoán,果断
Kinh nghiệm thực tế,实际经验
Quan sát,观察
Phát hiện vấn đề,发现问题
Phân tích tình huống,分析情况
Đánh giá,评价
Nhận xét,评论
Ý kiến cá nhân,个人意见
Quan điểm khác nhau,不同观点
Thống nhất ý kiến,达成一致
Bất đồng ý kiến,意见不合
Trao đổi,交流
Giao tiếp,沟通
Thảo luận kỹ,深入讨论
Giải thích thêm,进一步解释
Làm rõ vấn đề,弄清问题
Hiểu nhầm,误解
Hiểu đúng,正确理解
Tin cậy,可靠
Đáng tin,值得信赖
Không đáng tin,不可靠
Kiểm chứng,验证
Chắc chắn,确定
Không chắc chắn,不确定
Có khả năng,有可能
Không thể,不可能
Dự đoán,预测
Kết quả cuối cùng,最终结果
Ảnh hưởng chung,整体影响
Hoàn cảnh thực tế,现实情况
Ứng dụng thực tế,实际应用
Thói quen sinh hoạt,生活习惯
Kinh nghiệm cá nhân,个人经验
Bài học quý giá,宝贵教训
